,0,1
0,1013,1002
1,1013,1003
2,1019,2049
3,1033,1002
4,1033,1003
5,1033,1013
6,1033,1018
7,1033,1071
8,1034,1004
9,1049,3022
10,1063,1053
11,1069,1040
12,1071,1002
13,1071,1033
14,1082,1002
15,1083,1029
16,1107,1003
17,1107,1033
18,1122,1002
19,1122,2125
20,1122,3147
21,1123,11116
22,1132,1037
23,1134,1023
24,1135,1073
25,1156,2113
26,1159,1071
27,1159,1082
28,1159,1143
29,1164,1163
30,1166,1003
31,1166,1018
32,1166,1107
33,1166,1113
34,1179,1098
35,1180,1053
36,1188,1137
37,1190,1083
38,1192,1002
39,1192,1033
40,1192,1082
41,1193,1056
42,1198,1173
43,1200,1055
44,1201,1084
45,1203,1032
46,1206,1033
47,1209,1002
48,1209,1033
49,1209,1092
50,1211,1003
51,1211,1018
52,1211,1107
53,1211,1166
54,1211,2076
55,1211,4101
56,1211,9136
57,1215,1027
58,1215,1182
59,1217,1062
60,1218,1032
61,1218,1111
62,1218,1203
63,2004,1025
64,2006,1143
65,2008,1035
66,2008,1072
67,2020,1135
68,2020,1218
69,2028,1071
70,2029,1216
71,2029,2016
72,2034,5245
73,2034,8123
74,2034,9110
75,2034,103195
76,2040,1002
77,2040,1033
78,2040,1071
79,2040,1082
80,2040,1159
81,2040,1197
82,2040,1206
83,2040,2091
84,2042,1197
85,2042,1206
86,2046,1143
87,2047,1112
88,2050,1124
89,2053,1197
90,2053,1206
91,2054,1002
92,2054,1033
93,2054,1071
94,2054,1159
95,2056,1002
96,2056,2028
97,2057,1002
98,2057,1071
99,2057,1082
100,2057,1159
101,2059,2041
102,2067,1027
103,2067,1105
104,2067,1111
105,2067,1182
106,2068,1061
107,2068,1191
108,2073,1143
109,2074,2063
110,2076,1033
111,2076,2040
112,2076,2091
113,2078,1028
114,2084,1215
115,2086,2075
116,2087,1112
117,2087,1143
118,2087,1157
119,2087,106174
120,2090,1135
121,2090,2020
122,2098,2019
123,2099,2028
124,2099,2056
125,2100,1054
126,2101,1032
127,2101,1203
128,2102,2012
129,2103,1055
130,2103,1200
131,2103,1212
132,2104,1053
133,2110,3272
134,2117,1084
135,2117,1143
136,2117,1201
137,2119,1111
138,2119,1215
139,2119,2067
140,2119,2084
141,2121,1197
142,2121,1206
143,2121,2040
144,2121,2042
145,2125,1041
146,2125,1122
147,2125,1131
148,2125,1177
149,2126,1056
150,2126,2091
151,2129,1130
152,2130,1013
153,2130,1018
154,2130,1033
155,2130,1071
156,2130,1107
157,2130,1126
158,2130,1159
159,2130,1197
160,2130,1206
161,2130,1207
162,2130,1209
163,2130,2040
164,2130,2072
165,2130,2076
166,2130,2091
167,2131,1189
168,2132,1003
169,2132,1013
170,2132,1018
171,2132,1033
172,2132,1071
173,2132,1113
174,2132,1166
175,2132,2072
176,2132,2091
177,2134,1068
178,2136,6187
179,2138,1011
180,2138,1032
181,2138,1111
182,2138,1118
183,2138,1203
184,2138,1218
185,2141,12168
186,2143,1167
187,2143,1182
188,2143,2075
189,2143,2171
190,2144,2098
191,2147,1002
192,2147,1033
193,2147,1071
194,2147,1159
195,2147,1166
196,2147,1197
197,2147,1206
198,2147,2042
199,2149,1212
200,2150,1135
201,2154,2025
202,2154,2039
203,2154,2116
204,2158,1027
205,2160,1103
206,2160,1197
207,2160,1206
208,2161,1033
209,2161,2072
210,2161,2190
211,2164,1197
212,2164,1206
213,2164,2121
214,2164,2147
215,2170,2025
216,2170,2039
217,2170,2154
218,2171,1167
219,2171,1182
220,2171,1203
221,2171,1215
222,2171,2067
223,2171,2075
224,2171,2143
225,2172,1103
226,2172,2066
227,2172,2160
228,2174,1113
229,2174,1197
230,2174,1206
231,2174,2087
232,2174,2121
233,2174,2160
234,2176,1024
235,2176,1082
236,2180,1201
237,2183,1031
238,2183,2138
239,2186,1027
240,2186,1182
