,0
0,1001
1,1002
2,1003
3,1004
4,1005
5,1006
6,1007
7,1008
8,1009
9,1010
10,1011
11,1012
12,1013
13,1014
14,1015
15,1016
16,1017
17,1018
18,1019
19,1020
20,1021
21,1022
22,1023
23,1024
24,1025
25,1026
26,1027
27,1028
28,1029
29,1030
30,1031
31,1032
32,1033
33,1034
34,1035
35,1036
36,1037
37,1038
38,1039
39,1040
40,1041
41,1042
42,1043
43,1044
44,1045
45,1046
46,1047
47,1048
48,1049
49,1050
50,1051
51,1052
52,1053
53,1054
54,1055
55,1056
56,1057
57,1058
58,1059
59,1060
60,1061
61,1062
62,1063
63,1064
64,1065
65,1066
66,1067
67,1068
68,1069
69,1070
70,1071
71,1072
72,1073
73,1074
74,1075
75,1076
76,1077
77,1078
78,1080
79,1081
80,1082
81,1083
82,1084
83,1085
84,1086
85,1087
86,1088
87,1089
88,1090
89,1091
90,1092
91,1093
92,1094
93,1095
94,1096
95,1097
96,1098
97,1099
98,1100
99,1101
100,1102
101,1103
102,1104
103,1105
104,1106
105,1107
106,1108
107,1109
108,1110
109,1111
110,1112
111,1113
112,1114
113,1115
114,1116
115,1117
116,1118
117,1119
118,1120
119,1121
120,1122
121,1123
122,1124
123,1125
124,1126
125,1127
126,1128
127,1129
128,1130
129,1131
130,1132
131,1133
132,1134
133,1135
134,1136
135,1137
136,1138
137,1139
138,1140
139,1141
140,1142
141,1143
142,1144
143,1145
144,1146
145,1147
146,1148
147,1149
148,1150
149,1151
150,1152
151,1153
152,1154
153,1155
154,1156
155,1157
156,1158
157,1159
158,1160
159,1161
160,1162
161,1163
162,1164
163,1165
164,1166
165,1167
166,1168
167,1169
168,1170
169,1171
170,1172
171,1173
172,1174
173,1175
174,1176
175,1177
176,1178
177,1179
178,1180
179,1181
180,1182
181,1183
182,1184
183,1185
184,1186
185,1187
186,1188
187,1189
188,1190
189,1191
190,1192
191,1193
192,1194
193,1195
194,1196
195,1197
196,1198
197,1199
198,1200
199,1201
200,1202
201,1203
202,1204
203,1205
204,1206
205,1207
206,1208
207,1209
208,1210
209,1211
210,1212
211,1213
212,1214
213,1215
214,1216
215,1217
216,1218
217,1219
218,1220
219,1221
220,1222
221,2001
222,2002
223,2003
224,2004
225,2005
226,2006
227,2007
228,2008
229,2009
230,2010
231,2011
232,2012
233,2013
234,2014
235,2015
236,2016
237,2017
238,2018
239,2019
240,2020
241,2021
242,2022
243,2023
244,2024
245,2025
246,2026
247,2027
248,2028
249,2029
250,2030
251,2031
252,2032
253,2033
254,2034
255,2035
256,2037
257,2038
258,2039
259,2040
260,2041
261,2042
262,2043
263,2044
264,2045
265,2046
266,2047
267,2048
268,2049
269,2050
270,2051
271,2052
272,2053
273,2054
274,2055
275,2056
276,2057
277,2058
278,2059
279,2060
280,2061
281,2062
282,2063
283,2064
284,2065
285,2066
286,2067
287,2068
288,2069
289,2070
290,2071
291,2072
292,2073
293,2074
294,2075
295,2076
296,2077
297,2078
298,2079
299,2080
300,2081
301,2082
302,2083
303,2084
304,2085
305,2086
306,2087
307,2088
308,2089
