,author_id,interests
0,0,"{0, 33, 8, 44, 47}"
1,1,"{0, 33, 45, 8}"
2,2,"{0, 1, 33, 3, 8, 44, 45, 47}"
3,3,"{8, 24, 34}"
4,4,"{0, 8, 26, 47}"
5,5,"{33, 3, 8, 42, 45, 48}"
6,6,"{48, 0, 8, 47}"
7,7,"{0, 33, 8, 44, 45, 48}"
8,8,"{0, 1, 2, 33, 5, 8, 43, 12, 44, 14, 45, 46, 47, 17, 48, 22, 24, 26}"
9,9,"{8, 44}"
10,10,"{8, 44, 45, 46}"
11,11,"{8, 45}"
12,12,"{8, 1, 45}"
13,13,"{0, 1, 33, 3, 8, 43, 44, 45}"
14,14,{8}
15,15,"{0, 1, 33, 3, 8, 43, 44, 45, 47, 48}"
16,16,"{0, 1, 33, 8, 44, 45}"
17,17,"{0, 8, 42, 44, 45, 47}"
18,18,"{8, 44, 47}"
19,19,"{0, 8, 47}"
20,20,"{0, 8, 3, 45}"
21,21,"{0, 8, 3}"
22,22,"{8, 26}"
23,23,"{0, 33, 34, 8, 44, 46, 47, 24}"
24,24,"{0, 1, 33, 8, 44, 26}"
25,25,{8}
26,26,"{0, 8, 34}"
27,27,"{8, 3, 45}"
28,28,"{0, 1, 2, 33, 8, 44, 45, 14, 46, 18, 27}"
29,29,"{0, 8, 44}"
30,30,"{0, 1, 33, 3, 8, 44, 45}"
31,31,"{0, 1, 44, 8}"
32,32,"{33, 8, 47, 51, 25}"
33,33,"{0, 1, 33, 8, 44, 45, 47, 22}"
34,34,"{0, 1, 33, 3, 8, 44, 47}"
35,35,"{8, 44}"
36,36,"{0, 1, 3, 8, 44, 45, 48, 51}"
37,37,"{0, 8, 45}"
38,38,"{0, 33, 8, 44, 47}"
39,39,"{0, 33, 3, 38, 8, 44, 47}"
40,40,"{0, 33, 3, 8, 44, 45}"
41,41,"{8, 33, 45}"
42,42,"{0, 1, 33, 3, 8, 44, 45, 47, 26}"
43,43,"{8, 3, 45}"
44,44,"{0, 1, 33, 3, 5, 38, 8, 43, 44, 47, 24, 26}"
45,45,"{0, 33, 2, 8, 17}"
46,46,"{0, 1, 33, 5, 8, 44, 45, 47, 24}"
47,47,"{8, 1}"
48,48,{8}
49,49,"{8, 33, 46}"
50,50,"{0, 33, 45, 8}"
51,51,{8}
52,52,"{0, 33, 8, 42, 44, 45, 47, 29}"
53,53,"{8, 2, 44, 45}"
54,54,"{8, 33, 47}"
55,55,"{8, 44}"
56,56,"{8, 33}"
57,57,"{8, 44}"
58,58,"{0, 34, 8, 51, 22}"
59,59,"{0, 1, 8, 45, 47}"
60,60,"{8, 3, 47}"
61,61,"{0, 1, 33, 3, 8, 44, 23}"
62,62,"{0, 33, 3, 8, 44, 45, 14, 46, 48}"
63,63,"{0, 1, 33, 3, 8, 44, 45}"
64,64,"{8, 33}"
65,65,"{48, 0, 8, 33}"
66,66,"{0, 1, 33, 8, 43, 44, 47}"
67,67,"{8, 45}"
68,68,{8}
69,69,"{8, 45}"
70,70,"{0, 33, 8, 43, 45, 46, 25}"
71,71,"{0, 1, 33, 4, 8, 44, 45, 47}"
72,72,"{8, 1, 45}"
73,73,"{0, 8, 44, 47, 24}"
74,74,"{0, 33, 8, 12, 45, 47, 29}"
75,75,{8}
76,76,"{8, 0, 43}"
77,77,"{0, 33, 8, 47}"
78,78,"{8, 46}"
79,79,"{0, 33, 8, 45, 47}"
80,80,"{0, 1, 33, 3, 8, 44, 14, 46, 47}"
81,81,"{0, 8, 45}"
82,82,"{0, 33, 8, 47}"
83,83,"{0, 8}"
84,84,"{0, 33, 8, 47}"
85,85,"{8, 33}"
86,86,"{8, 1}"
87,87,"{8, 44, 45, 38}"
88,88,"{0, 33, 45, 8}"
89,89,"{0, 33, 3, 8, 44, 45, 47, 51, 22}"
90,90,"{8, 3, 44}"
91,91,"{0, 8, 45}"
92,92,"{0, 1, 33, 5, 8, 43, 44, 45}"
93,93,"{8, 3, 44}"
94,94,"{0, 33, 45, 8}"
95,95,{8}
96,96,"{0, 33, 8, 44, 45, 14, 22}"
97,97,"{0, 8, 46}"
98,98,"{33, 8, 45, 47, 24}"
99,99,"{0, 1, 33, 3, 8, 43}"
100,100,"{0, 33, 3, 8}"
101,101,"{0, 8, 3}"
102,102,"{0, 8}"
103,103,"{8, 24, 44, 47}"
104,104,"{8, 33, 44, 47}"
105,105,"{8, 44, 45}"
106,106,"{0, 33, 38, 8, 43, 44, 45, 47}"
107,107,"{8, 1}"
108,108,"{0, 8, 46, 22, 27}"
109,109,"{0, 8, 45}"
110,110,"{0, 33, 8}"
111,111,"{0, 38, 8, 44, 45, 47}"
112,112,"{0, 1, 33, 3, 8, 44, 45, 47, 23}"
113,113,"{8, 33, 45, 47}"
114,114,"{0, 1, 2, 3, 33, 5, 8, 44, 45, 47, 48, 26}"
115,115,"{8, 1, 26}"
116,116,"{0, 8, 44}"
117,117,"{0, 33, 3, 8, 44, 45, 48}"
118,118,"{0, 8, 44, 45, 47, 48, 29}"
119,119,"{8, 33, 44}"
120,120,"{8, 33, 1, 25}"
121,121,"{0, 8}"
122,122,"{0, 33, 8, 44, 45, 14}"
123,123,"{33, 8, 11, 45, 46, 48}"
124,124,"{0, 8, 44, 45, 47, 31}"
125,125,"{0, 8}"
126,126,"{0, 1, 33, 8, 43, 44, 45, 47}"
127,127,"{0, 1, 33, 8, 44}"
128,128,"{0, 33, 45, 8}"
129,129,"{0, 1, 33, 3, 8, 44, 45}"
130,130,"{0, 8, 44, 47}"
131,131,"{0, 33, 44, 8}"
132,132,"{0, 8, 45}"
133,133,"{1, 8, 44, 46, 14}"
134,134,"{0, 8, 45}"
135,135,"{0, 1, 33, 8, 44, 45}"
136,136,"{8, 33, 43, 29}"
137,137,"{8, 33, 47}"
138,138,"{8, 33, 1, 47}"
139,139,"{8, 3, 44, 45}"
140,140,"{8, 11}"
141,141,"{0, 33, 8, 43, 45}"
142,142,"{0, 1, 33, 3, 8, 12, 44, 45, 47, 24, 26}"
143,143,"{0, 33, 3, 8, 12, 45, 44, 46, 47, 26}"
144,144,"{8, 44}"
145,145,"{0, 1, 33, 3, 8, 44, 45, 47}"
146,146,"{0, 8, 5}"
147,147,"{8, 45}"
148,148,"{0, 33, 8, 44, 45}"
149,149,"{0, 1, 33, 3, 8, 41, 23}"
150,150,"{0, 3, 8, 44, 45, 47}"
151,151,"{8, 33, 25}"
152,152,"{0, 33, 46, 8}"
153,153,"{0, 1, 33, 8, 44}"
154,154,"{0, 8, 44, 45, 46}"
155,155,{8}
156,156,"{8, 43, 44, 45, 47}"
157,157,"{0, 8, 44, 45}"
158,158,"{0, 1, 33, 3, 8, 44, 45, 29}"
159,159,"{0, 33, 8, 47}"
160,160,"{0, 1, 33, 8, 43, 44, 45}"
161,161,{8}
162,162,"{8, 33, 1}"
