,from_id,to_id,article_ids
0,8950,7794,"{9705187, 9808012, 9803118, 9708145, 9810034, 9707155, 9906069, 9807065, 9903066}"
1,9308,3382,{9509068}
2,9308,3432,{9509068}
3,3382,3432,{9509068}
4,9105,673,"{211203, 212139, 207127}"
5,9105,8103,"{211203, 212139, 207127}"
6,673,8103,"{104082, 211203, 212139, 207127}"
7,9690,12428,{208208}
8,9690,8554,{208208}
9,12428,8554,{208208}
10,7715,3715,{9602148}
11,10429,5605,"{9601024, 9608009, 9512007}"
12,12751,11786,{9505012}
13,12751,10322,{9505012}
14,11786,10322,"{9307025, 9411163, 9505012, 9401110}"
15,4500,2242,"{9606160, 9712147, 9709060, 9401079}"
16,8652,12916,{9704132}
17,11225,2720,{11072}
18,11225,7414,"{11072, 9712006, 101225, 9801133, 9910190, 9609174, 9802174}"
19,11225,2619,{11072}
20,2720,7414,{11072}
21,2720,2619,"{11072, 101035, 5229}"
22,7414,2619,"{11072, 9811212}"
23,10848,7413,"{9206018, 9212146}"
24,12685,4056,{9907058}
25,12685,11448,{9907058}
26,4056,11448,{9907058}
27,1994,772,"{9604192, 9803173, 9501137, 10100, 9905206, 9604125}"
28,12890,142,"{9510177, 9507074, 9602115, 9510083, 9505175, 9603071}"
29,12890,12621,"{9510177, 9507074, 9602115, 9510083, 9505175, 9805085, 9603071}"
30,142,12621,"{9510177, 9507074, 9602115, 9510083, 9505175, 9603071}"
31,10505,11679,"{9808062, 9503126}"
32,5113,884,{9705180}
33,5113,10133,{9705180}
34,5113,7415,"{9705180, 9802014}"
35,884,10133,{9705180}
36,884,7415,{9705180}
37,10133,7415,{9705180}
38,1634,9694,"{9710233, 9702162, 9708054}"
39,3704,8103,"{9201027, 9307176, 9210124, 9407152, 9307037, 9508030}"
40,4634,4065,{9204077}
41,7184,12165,"{8248, 9607224, 9611037}"
42,6046,8908,"{9612128, 6213, 9611213, 10071, 9904021, 9901111}"
43,6409,5329,{9907199}
44,8218,1412,"{9807009, 9806247, 9806154, 9809137, 9704083, 9811189}"
45,6416,5838,{9712244}
46,6416,9381,{9712244}
47,6416,10546,{9712244}
48,6416,10184,{9712244}
49,6416,6397,{9712244}
50,5838,9381,{9712244}
51,5838,10546,{9712244}
52,5838,10184,{9712244}
53,5838,6397,{9712244}
54,9381,10546,{9712244}
55,9381,10184,{9712244}
56,9381,6397,{9712244}
57,10546,10184,{9712244}
58,10546,6397,{9712244}
59,10184,6397,{9712244}
60,11515,4339,{102205}
61,11308,1451,"{203055, 208146, 205012, 108184, 303101}"
62,11308,5763,"{208146, 205012, 303101, 203055}"
63,1451,5763,"{9801030, 9707143, 205166, 203055, 208146, 205012, 303101}"
64,8708,6094,"{9812091, 9604044, 9412229, 9812247}"
65,8708,12525,"{9812091, 9604044, 9412229, 9812247}"
66,6094,12525,"{9807236, 9412229, 9611238, 9709034, 9604044, 9702190, 9812247, 9812091, 102079}"
67,9383,7516,"{9909088, 9905064}"
68,9588,11591,"{203080, 9903129, 9701139}"
69,9588,1709,"{9903129, 211029}"
70,11591,1709,"{9711202, 107106, 303235, 9803001, 9903129, 9803135}"
71,2415,12526,"{9304113, 9206073}"
72,2415,7181,"{9304113, 9302137}"
