id,author
0,Ulrich Theis
1,S. Stramaglia
2,E. T. Akhmedov
3,Nematollah Riazi
4,Yuri Malyuta
5,M. R. Douglas
6,Hiroto KUBOTANI.
7,Brent Nelson
8,F. Lizzi
9,Valeri P. Frolov
10,R. K. White
11,Vladimir Skalozub
12,T. Garavaglia
13,Jacques Bros
14,W. A. Weir
15,E. F. Moreno
16,A. Y. Segal
17,Yu. Manin
18,M. Welling
19,Xin Liu
20,Leon Takhtajan
21,B. Linet
22,V. Braun
23,Yeuk Kwan E. Cheung
24,T. Tjin
25,Huanxiong Yang
26,G. Zoupanos
27,Dian Min Tong
28,Craig A. Tracy
29,Shoibal Chakravarty
30,A. S. Gorsky
31,T. Harmark
32,Cecilia Clementi
33,V. D. Pershin
34,Gabriele Travaglini
35,Bobby S. Acharya
36,S. De Siena
37,L. D. Soloviev
38,A. De Castro
39,W. F. Kao
40,Jin Hong
41,E. Elizalde S. D. Odintsov
42,A. Sevrin
43,N. L. Harshman
44,Chiang Mei Chen
45,Walter Kunhardt
46,M. B. Paranjape
47,F. Takagi
48,Sayaka Sekiya
49,Yves Demasure
50,P. E. Dorey
51,Yukihiro Mimura
52,E. Verlinde
53,D. Cabra
54,Peter K. S. Dunsby
55,Sang Chul Yoon
56,Konstantinos Anagnostopoulos
57,Kiyoshi Ezawa
58,A. Yu. Boldin
59,Jorge Stephany
60,T. Fischbacher
61,Yuri Makeenko
62,J. Bros
63,M. Yu
64,D. Babusci
65,Sigurd Schelstraete
66,Pierre Vanhove
67,G. Djordjevic
68,J. R. Shepard
69,H. Crater
70,Michel Pleimling
71,J. Madore
72,Olivier Espinosa
73,G. Kofinas
74,Noboru Kawamoto
75,H. Veschelde
76,I. Dymnikova
77,I. Pappa
78,MA. Zhong Qi
79,Satoshi Yamada
80,J. A. Mignaco
81,Michael Duetsch
82,P. Windey
83,Takashi Shimizu
84,Anupam Mazumdar
85,M. Z. Iofa
86,Aleksey Polishchuk
87,M. J. Cassidy
88,C. S. Acatrinei
89,D. V. Galtsov
90,Oliver Rudolph
91,B. G. Zakharov
