id,subject
0,Rings and Algebras
1,Operator Algebras
2,Statistics and Probability
3,Representation Theory
4,Accelerator Physics
5,Mesoscopic Systems and Quantum Hall Effect
6,Optics
7,Atomic Physics
8,High Energy Physics - Theory
9,Disordered Systems and Neural Networks
10,Algebraic Topology
11,Plasma Physics
12,Symplectic Geometry
13,Pattern Formation and Solitons
14,Spectral Theory
15,Strongly Correlated Electrons
16,Data Analysis
17,Functional Analysis
18,Analysis of PDEs
19,Metric Geometry
20,Atomic and Molecular Clusters
21,General Mathematics
22,Dynamical Systems
23,Combinatorics
24,General Topology
25,Statistical Mechanics
26,K-Theory and Homology
27,Exactly Solvable and Integrable Systems
28,Complex Variables
29,Optimization and Control
30,Classical Physics
31,Chemical Physics
32,Superconductivity
33,Classical Analysis and ODEs
34,Differential Geometry
35,Soft Condensed Matter
36,Popular Physics
37,Geometric Topology
38,Fluid Dynamics
39,Materials Science
40,History and Overview
41,Computational Physics
42,Algebraic Geometry
43,Numerical Analysis
44,Space Physics
45,Quantum
46,Mathematical Physics
47,Logic
48,History of Physics
49,Mathematical Software
50,Physics and Society
51,Chaotic Dynamics
52,Adaptation and Self-Organizing Systems
53,Number Theory
54,Group Theory
